[																									
]																									
讀	d		u		2	d		au&u	&k	6&9	t	&w	o&u	&k	None&None	đ		ô	c	8	d&t		o	ku&u	None&None&None
讁	zh		e		2	z		aa	k	9											t	&y	a	ku	None&None
讂	x	u	a	n	4	h	i	u	n	3															
讃	z		a	n	4																s		a	n	None
讄	l		ei		3																&r		i&u		None&None
讅	sh		e	n	3	s		a	m	2											s		i	n	None
豄	d		u		2																				
贕	d		u		2	d		u	k	9															
贖	sh		u		2	s		u	k	9	s		o	k	None	ch	u	ô	c	8	s	y	o	ku	None
贗		i	a	n	4	ng		a&aa	n	3&6											g&k		a&e	n	None&None&None
贘	sh		a	ng	3																				
躐	l	i	e		4	l		i	p	9	l	y	e	p	None	l		a	p	7	r	y	o	u	None
躑	zh		i		2	z		aa	k	9	ch		e	k	None						t		e	ki	None
躒	l		i		4	l		i&o	k	7&8											r	&y	a&e	ki&ku	None&None&None
躓	zh		i		4	z		i		3	c		i		None						t		i		None
躔	ch		a	n	2	c		i	n	4	c		e	n	None						t		e	n	None
躕	ch		u		2	c	i	u		4											t&z	y	u	&u	None&None&None
躖	d	u	a	n	4																				
轠	l		ei		2	l		eoi		4															
轡	p		ei		4	b		ei		3	p		i		None						h		i		None
轢	l		i		4	l		i	k	7	l	y	e	k	None						r		e	ki	None
酇	z		a	n	4	z	&i	aa&u	n	2&3											s&z		a	&n	None&None&None&None
酈	l		i		4	l		i	k	9	l	y	e	k	None						r	&y	a&e&i	&ki&ku	None&None&None
鑂	x		u	n	4						h	w	u	n	None										
鑃	d	i	ao		4																	y	o	u	None
鑄	zh		u		4	z	i	u		3	c	w	u		None						t	y	u	u	None
鑅	h		e	ng	2											l&v		a&o	ng&nh	2&5	k		o	u	None
鑆	zh	u	i		4																				
鑇	j		i		1																				
鑈	n	i	e		4																&g&n&s&z	&y	a&e&i&o	&i&u	None&None&None&None&None&None
鑉	h		e		2																				
鑊	h	u	o		4		u	o	k	9	h	w	a	k	None	v		a	c	8	&k	&w	a	ku	None&None
鑋	q		i	ng	1	h		@	ng	1															
鑌	b		i	n	1	b		a	n	1	p		i	n	None						h		i	n	None
鑍		i	i	ng	1																				
鑎	k	u	i		4																				
鑏	n		i	ng	2																				
鑐	x		u		1	s		eoi		1															
鑑	j	i	a	n	4	g		aa	m	3	k		a	m	None						k		a	n	None
鑒	j	i	a	n	4	g		aa	m	3	k		a	m	None						k		a	n	None
鑓	q	i	a	n	5																				
鑔	ch		a		3																				
鑧	k	u	a	n	5											kh&th	o	a	&n	1&1					
镵	ch		a	n	2	c		aa	m	4															
镶	x	i	a	ng	1	s		oe	ng	1															
镾	m		i		2																b&m		i		None&None
闧	t		a		1																				
霼	x		i		4																				
霽	j		i		4	z		ai		3	c		ey		None						s		a&e	i	None&None
霾	m		ai		2	l&m		aai&ai&ei		4&4&4											b		a	i	None
霿	m		e	ng	2	m		u	ng	6															
靀	m		e	ng	2											m		ô	ng	3					
韀	j	i	a	n	1																				
韁	j	i	a	ng	1	g		oe	ng	1	k		a	ng	None	c	ư	ơ	ng	1	&k	&y	o	u	None&None
韂	ch		a	n	4																				
韃	d		a		2	t		aa	t	8	t		a	l	None						d&t		a	tsu	None&None
韣	d		u		2	d		u	k	9															
顩		i	a	n	3		i	i	m	5															
顪	h	u	i		4	&f	u	ai&i		3&6											k		a&e	&i	None&None
顫	ch		a	n	4	z		i	n	3	c		e	n	None						s		e	n	None
飋	s		e		4						s		i	l	None										
饔		i	o	ng	1		i	u	ng	1			o	ng	None							y	o&u	&u	None&None
饕	t		ao		1	t		ou		1	t		o		None						t		o	u	None
饖		u	ei		4																				
饗	x	i	a	ng	3	h		@	ng	2	h	y	a	ng	None							y	o	u	None
饘	zh		a	n	1	z		i	n	1											s		e	n	None
饙	f		e	n	1	f		a	n	1											f		u	n	None
驈		i	u		4		u	a	t	9															
驉	x		u		1	h		eoi		1															
驊	h	u	a		2		u	aa		4	h	w	a		None						g&k		a&e		None&None
驋	b		o		1																h		a	chi&tsu	None&None
驌	s		u		4	s		u	k	7	s	w	u	k	None						s	&y	u	ku	None&None
驍	x	i	ao		1	h	i	u		1	h	y	o		None							y	o	u	None&None
驎	l		i	n	2	l		eo	n	4	l		i	n	None						r		i	n	None
驏	zh		a	n	4	c&z		aa&i	n	2&5	c		a	n	None										
驐	d		u	n	1																				
驑	l	i	u		2																r	&y	u	&u	None&None
驒	t	u	o		2	t		o		4	th		a	n	None						d&t		a	&n	None&None&None
驓	c		e	ng	2																				
驔	d	i	a	n	4	t		aa&i	m	4&5											d&t		a&e&o	n	None&None&None&None
驕	j	i	ao		1	g	i	u		1	h&k	y	o		None&None	k	i	êu		1		y	o	u	None
髐	x	i	ao		1	h		aau		1											&k	&y	o	u	None&None
髝	l		ao		2																				
鬙	s		e	ng	1	z		a	ng	1	s		u	ng	None						s		o	u	None
鬚	x		u		1	s		ou		1	s	w	u		None	t		u		1	s	&y	u		None&None
鬛	l	i	e		4																r	y	o	u	None
鬜	q	i	a	n	1																k&s&z		a&e	n	None&None&None&None
鬻		i	u		4		i	u	k	9											&s	&y	i&u	ku	None&None
魕	j		i		3																k		i		None
魖	x		u		1	h		eoi		1											&k	&y	o		None&None
鰱	l	i	a	n	2	l		i	n	4	l	y	e	n	None	l&n	&ư	ă&ơ	n	1&4	r		e	n	None
鰲			ao		2	ng		ou		4			o		None						g		o	u	None
鰳	l		e		4	l		a	k	9															
鰴	h	u	i		1	f		ai		1															
鰵	m		i	n	3	m		a	n	5	m		i	n	None						b&m		i	n	None&None
鰶	j		i		4	m		a	n	5											s		a&e	i	None&None
鰷	t	i	ao		2	t	i	u		4											s&t&z	y	o	u	None&None&None
鰸	q		u		1																				
鰹	j	i	a	n	1	g		i	n	1	k	y	e	n	None						k		e	n	None
鰺	sh		e	n	1						s		o		None						s		o	u	None
鰻	m		a	n	2	m		aa	n	4	m		a	n	None						b&m		a	n	None&None
鰼	x		i		2	z		aa	p	9															
鰽	q	i	u		2	c		ou		4											s&z	y	u	&u	None&None
鰾	b	i	ao		4	p	i	u		5	ph	y	o		None							y	o	u	None
鰿	j		i		4	z		i	k	7															
鱀	j		i		4																				
鱁	zh		u		2	z		u	k	9											t&z		i	ku	None&None
鱂	j	i	a	ng	1																s	&y	o	u	None&None
鱃	x	i	u		1																s	y	u	&u	None&None
鱄	zh	u	a	n	1	z	i	u	n	1											d&r&s&t&z		a&e	n	None&None&None&None&None
鱅		i	o	ng	1	z		u	ng	4											&s&z	y	o&u	&u	None&None&None&None
鱆	zh		a	ng	1	z		oe	ng	1											s	y	o	u	None
