[																									
]																									
䗖	d		i		4	d&z		aai&ai&i	&t	3&6&8															
䘔	k		a		1	h&k		aa&o		1&2															
䙃	d	u	o		4																				
䙄	q		i		4																				
䙅		i	ao		1	z	i	u		1&2															
䙆	k	u	i		4																				
䙇	r	u	a	n	2																				
䙈	h		ou		2	h		au		4															
䙉	x		u	n	2	c		eo	n	4															
䙊	x	i	e		4	z		e		6															
䙋																									
䙌	k	u	i		4	g&k	u	i		2&2															
䙍																									
䚄	l		u		4	l		u	k	7															
䚅	l		ai		4	l		oi		4&6															
䚜	b		i		1	b		ei		1															
䚝	z		u		2	z		eo	t	7															
䚞	d		ai		3																				
䚟	d		ai		3	d		aai		2															
䚠	h		u	n	4		u	a	n	6															
䛩		u	u		4	&k	&u	i&o&u	&k	2&3&8															
䛪	q	i	o	ng	2	k		u	ng	4															
䛫	zh		a	ng	1	z		oe	ng	1															
䛬	t		ao		2	t		ou		4															
䛭	x		i	ng	4	h		@	ng	6															
䛮	j	i	u		4	g&s		aa&aau	&t	3&7															
䛯	j		u		4	g		eoi		3															
䛰	h		u	n	4		u	a	n	6															
䛱	t		i		2																				
䛲	m		a	n	2	m		a	n	4&6															
䛳		i	a	n	4	z		i	m	1&3															
䛴	j		i		1																				
䛵	sh		ou		4	s		au		6															
䛶	l		ei		3	l		o&oi	&k	6&9															
䛷		u	a	n	3	z	i	u	n	2															
䛸	ch		e		4	z		aa	m	1															
䜥						d		aa	n	3															
䜯	j		u		2	g		u	k	7															
䜺	ch		ai		3																				
䝊	sh		a		4																				
䝋	z		o	ng	4	c&z		eoi&u	&ng	3&4															
䝌	j	u	e		2																				
䝝		i	i		3	z		i		1															
䝞	h		ao		4	h		ou		6															
䝶	l	i	a	ng	2																				
䝷	zh		i		1	z		i		3															
䝸	j		i		4																				
䝹		u	a	n	3	z	i	u	n	1&2															
䝺	g	u	a	n	4	g		u	n	3															
䝻	j		u		1	c&g		eoi		1&3															
䝼	j		i	ng	4	c&t&z	&i	i&u	&ng	4&4&6															
䝽			ai		4																				
䝾	f		u		4	f		u		2&3															
䝿	g	u	i		4	g	u	ai		3															
䞍	q		i	ng	2	c&z		i	ng	4&6															
䞎																									
䞳	b		o		2	b		aa	k	9															
䞴	zh		ao		1																				
䞵	j	u	e		3																				
䞶	t		a	ng	1	t		i	k	7															
䞷	j	u	e		2	&f&g	&u	aa	ng&t	1&7&9															
䞸	f		u		4	f		u		6															
䟼		u	u		3	m		ou		5															
䟾	zh	u	o		2																				
䟿	l		u		4	l		u	k	7															
䠀	t		a	ng	1	c&t		a&o	ng	1&3															
䠁						z		ai		1															
䠂	ch		u		2	c		o		2															
䠃	l	i	a	ng	3	l		oe	ng	5															
䠄	t	i	a	n	3																				
䠅	k		u	n	3																				
䠆	ch		a	ng	2	c		oe	ng	4															
䠇	j	u	e		2																				
䠈	t		u		2																				
䠉	h	u	a	n	4			u	n	6															
䠊	f		ei		4	f		aai		4															
䠋	b		i		4	b&p		e&ei		2&5															
䠌																									
䠻	q	i	o	ng	2	k		u	ng	4															
䡜	l		u		4	l		u	k	9															
䡝		iu	a	n	1																				
䡞	j		u		2																				
䡟	p		i		4	b&f&p		ei&u		3&6&6															
䢃		i	i		4	ng		ai		6															
䢇	r		o	ng	3	z		u	ng	2															
䢦	sh	u	ai		4	s		eo	t	7						s	u	ô	t	7					
䢧	l	i	ao		4	l	i	u		6															
䢨	c		o	ng	1	s		u	ng	1															
䢩		i	u		4	z	i	u		4&6															
䣝	t		u		2	c&t	&i	ou&u		4&5															
䣞			e		4	ng		o	k	9															
䣟	c		a	n	2																				
䣠	j	i	e		2	t		aai		3															
䣼	l	i	a	ng	2	l		oe	ng	4&4															
䣽	zh		i		1	z		i		1															
䣾	m		i		4																				
䣿		i	u		1																				
䤫	ch		a	n	2	c		aa	m	4															
䤬	sh		a		1	s		o		1															
䤭	sh		i		4	s		i	k	7															
䤮	sh		e		4																				
䤯	x		i	ng	2	z		i&oe	ng	2&4															
䤰		i	i	ng	2																				
䤱	sh		i		4	s		ai		6															
䤲	ch		i		4											x		i	ch	7					
䦁						b		o	ng	1															
䦜		u	u		2	ng		@		4															
䦝	h	u	o		1																				
䦞	r		u	n	4	z		eo	n	6															
䦟		u	e	n	3	c		eoi		3															
䦷	ch	u	ai		4	c		eoi		3															
䧤	p		u		2	b		u	k	9															
䧥	h	u	i		4		u	ai		6															
䧦		u	ei		2		u	ai		4															
䧩																									
䧼	h		u		2	h		u	k	9															
䧽	c	u	i		3																				
䨗	f		u		2	f		u		1															
䨘	x	i	a	n	4	s		i	n	3															
䨙	c		e	n	2	z		aa	m	4															
䩀	b		ei		4	b		ei		3															
䩟		i	i		2	z		i		4															
䪟																									
䪿	sh		e	ng	3	s		eo	n	3															
䫀	g		e	n	3																				
䫁	b		i		4	b		ei		6															
䫂	d	u	o		3	d		o		1															
䬄	x		u		4	&s&z	i&u	aa&u	&t	3&9&9															
䬅	l		i		4	l		i	k	9															
䬵	g		ai		1	&g		a&oi	&t	1&8															
䬶			e	n	4			o	n	3															
䬷	sh		e		3	s		e		2															
䬸						c		aa	n	1															
䬹	zh		i		4	z		aa	t	9															
䬺		i	a	ng	4	s&z		eoi&oe	&ng	1&6															
䬻	j	i	a	n	4	z		aa&i	n	1&3															
䭫	q		i		3	k		ai		2															
䭬	q		i		3	k		ai		2															
䭿		i	i		4	z		aa	t	9															
䮀	b		o		2	b		u	t	9															
䮁	p	i	a	n	2	p		i	n	4															
䮂	b		a		2	b		u	t	9															
䮃						k		eoi		1															
䮄	x	u	a	n	2	z	i	u	n	1&4															
䮅																									
䯊	q	i	a		4	&k		aa&o		1&3															
䯋	b		o		2	b		o	k	9															
䯌	k		ao		1	h		au		1															
䯍	l		i	ng	2	l		i	ng	4															
䯎	g		a	n	4	g		o	n	3															
䯵	n	i	e		4	z		i	t	9															
䯶	m		a	n	2	m		a&u	n	4&4															
䰛	l		i		4	l		i	k	9															
䰠	sh		e	n	2	s		aa	n	1&4															
䰡	ch		i		4	c		i		3															
䰷	b		a	ng	4	p		a&au	&ng	4&5															
䰸	g		o	ng	1	g		u	ng	1															
䰹	z		e		2	c		aa	k	9															
䰺	j	i	e		4	g		aai		3															
䰻		i	u		2	z	i	u		4															
䰼	q		i	n	2	c		a	m	4															
䰽	b		ei		4	b	u	i		3															
䰾	b		a		1	b		aa		1															
䲝						c&s		eoi&oe	&ng	1&2&6															
䲬	q		i		2	g&k&z		a&ei&i	&n	1&1&4															
䲭						c		i		1															
䲮		iu	a	n	2	z	i	u	n	4															
䲯	j		i		2	g&k		aa	p	9&9															
䲰		i	u	n	4		u	a	n	6															
䲱	f		a	ng	3	f		o	ng	2&4															
䲲	g		o	ng	1	g		u	ng	1															
䲳	h		a	ng	2	h		@	ng	4															
䲴	zh		e	n	4	z		a	m	6															
䲵	q	u	e		4	z		oe	k	8															
䲶																									
䲷																									
䲸	j	i	e		4	g		aai		3															
䴓	sh		i		1	s		i		1															
䴚	g		a	ng	3	g		o	ng	1															
䴠		i	ao		3	&z	&i	ou&u		1&2															
䴡	l		i		4	l		ai		6															
䴢	m		i		2	m		ei		4															
䴯	h		u		1	f		a	t	7															
䴰	sh		u		2	s		u	k	9															
䵇	x	i	a	n	4	s		a	m	1															
䵑	n		i		4	n		i	k	7															
