[								
]								
嫮	KO GO	호	HO	hù		wu6		
嫯		오	O	ào				
嫰				nèn				
嫱				qiáng		coeng4		
嫲				ma		maa4		
孵	FU	부	PWU	fū	fu1(21)	fu1		
孶	SHI JI	자	CA	zī				
孷	RI			lí				
寞	BAKU MAKU	막	MAK	mò	mo4(35)	mok6	mịch	*mɑk
察	SATSU SECHI	찰	CHAL	chá	cha2(288)	caat3	sát	
寠	KU RU ROWA			jù		geoi6 lau4 leoi6	lũ	
寡	KA	과	KWA	guǎ	gua3(28)	gwaa2	quả	guǎ
寢	SHIN	침	CHIM	qǐn		cam2		*tsǐm
寣	KOTSU KOCHI			hū		fat1		
寤	GO	오	O	wù		ng6		
寥	RYOU	요	LYO	liáo		liu4		*leu
實	JITSU SHITSU	실	SIL	shí	shi2(2729) shi5(200)	sat6	thực	*jhit
寧	NEI NYOU	녕 령 영	NYENG	níng	ning2(13) ning4(9)	ning4		*neng neng
寨	SAI	채	CHAY	zhài		zaai6 zai6	trại	
對	TAI TSUI	대	TAY	duì	dui4(5013)	deoi3	đỗi	*duə̀i
尡				kun				
屢	RU	누 루	LWU	lǚ		leoi5	lũ	liò
屣	SHI			xǐ		saai2		shiɛ̌
嵷	SHOU SHUU SOU SU			sǒng		sung2		
嵸				zōng				tzung tzǔng
嵹	KYOU GOU			jiàng		koeng4		
嵺	REU KOU KEU			liáo		liu4		
嵻				kāng				
嵼	SAN SEN			chǎn				
嵽	TETSU DECHI TEI DAI			dié		dai6 dit6		dhet
嵾	SHIN SAN SON			cēn		cam1		
嵿	TEI CHOU			dǐng				
嶀	TO TSU			tū				
嶁	RU ROU	루	LWU	lǒu		lau5		
嶂	SHOU	장	CANG	zhàng		zoeng3		jiɑ̀ng
嶃	SAN ZAN SEN ZEN			zhǎn		caam4		
嶄	SAN ZAN	참	CHAM	zhǎn	zhan3(34)	zaam2	chởm	
嶅				áo				
嶆	SAU ZOU			cáo				
嶇	KU	구	KWU	qū	qu1(13)	keoi1		kio
嶈	SHAU SOU			qiāng				
嶉	SUI SHI			cuī				
嶊	SUI TSUI SAI SE			zuǐ				
嶋	TOU	도	TO	dǎo				
嶌	TOU			dǎo				
嶍	SHIHU			xí		zaap6		
嶎				yù				
幈	HEI			píng				
幑	KI			huī				
幒				zhōng				
幓	SHIN SEN SAN SEU			shān		saam1		
幔	BAN MAN	만	MAN	màn		maan6	màn	mɑ̀n
